07-19 06:39:21.581 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.612 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.612 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.612 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.612 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.612 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.612 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.620 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.620 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.620 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.628 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.628 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.628 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.628 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.628 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.628 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.636 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.636 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.636 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.643 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.643 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.643 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.643 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.643 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.643 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.651 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.651 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.651 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.651 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.651 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.659 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.659 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.667 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.667 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.667 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.675 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.675 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.675 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.683 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.683 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.683 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.683 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.683 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.683 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.683 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.683 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.683 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.683 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.690 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.690 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.690 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.690 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.690 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.698 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.698 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.698 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.698 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.698 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.706 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.706 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.706 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.714 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.714 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.722 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.722 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.722 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.722 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.722 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.729 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.729 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.729 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.729 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.729 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.729 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.737 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.737 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.745 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.745 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.745 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.745 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.745 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.753 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.753 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.753 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.753 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.761 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.761 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.761 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.761 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.761 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.761 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.768 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.768 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.768 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.768 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.768 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.768 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.776 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.776 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.776 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.784 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.784 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.792 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.792 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.792 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.800 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.800 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.800 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.808 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.815 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.815 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.815 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.823 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.831 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.831 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.839 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.839 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.839 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.839 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.847 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.854 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.854 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.862 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.870 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.870 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.878 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.878 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.878 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.886 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.886 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.886 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.886 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.886 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.886 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.893 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.893 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.893 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.893 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.893 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.901 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.901 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.901 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.901 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.901 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.901 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.901 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.901 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.901 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.901 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.909 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.909 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.909 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.909 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.909 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.909 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.917 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.917 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.917 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.917 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.917 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.917 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.925 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.925 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.925 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.925 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.925 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.925 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.925 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.933 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.940 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.940 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.940 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.940 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.940 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.948 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.948 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.948 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.956 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.956 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.956 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
07-19 06:39:21.956 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.220.96.193
07-19 06:39:21.956 11016-11052/com.nalindquist.mbz D/OutPacket: IPv4 Layer, Src: 192.168.0.0, Dst: 23.202.234.122
